id;start_date;end_date;status;comments
1;2020-01-03;2020-01-04;VIGENTE;../fake-data/blob/hipster.txt
2;2020-01-04;2020-01-04;SIN_FECHA;../fake-data/blob/hipster.txt
3;2020-01-04;2020-01-04;A_VENCER;../fake-data/blob/hipster.txt
4;2020-01-04;2020-01-04;VIGENTE;../fake-data/blob/hipster.txt
5;2020-01-04;2020-01-04;ANTIGUO;../fake-data/blob/hipster.txt
6;2020-01-04;2020-01-03;SIN_FECHA;../fake-data/blob/hipster.txt
7;2020-01-04;2020-01-04;A_VENCER;../fake-data/blob/hipster.txt
8;2020-01-04;2020-01-04;ANTIGUO;../fake-data/blob/hipster.txt
9;2020-01-04;2020-01-04;SIN_FECHA;../fake-data/blob/hipster.txt
10;2020-01-04;2020-01-04;VIGENTE;../fake-data/blob/hipster.txt
